Review #,Brand,Variety,Style,Country,Stars
1,Westbrae,Miso Ramen,3,36,0.5
2,Wai Wai,Tom Yum Chili Flavor,3,34,2
3,Wai Wai,Tom Yum Shrimp,3,34,2
4,Wai Wai,Oriental Style Instant Noodles,3,34,1
5,Vifon,"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles",1,37,3.5
6,Vifon,Nam Vang,3,37,2.5
7,Ve Wong,Mushroom Pork,3,37,1
8,Tung-I,Chinese Beef Instant Rice Noodle,3,33,3
9,Sutah,Cup Noodle,2,31,2
10,Smack,Vegetable Beef,3,36,1.5
11,Six Fortune,Chicken Flavor Instant Soup Noodle,3,31,2
12,Sapporo Ichiban,Shrimp Flavor,3,19,2.5
13,Sapporo Ichiban,Chow Mein,3,19,5
14,Samyang,Hot,3,31,3.5
15,Samyang,Pojangmacha U-dong,3,31,2.5
16,Samyang,Kalgug-Su (Spicy),3,31,3.5
17,Quickchow,Pancit Palabok,3,27,2.5
18,Ottogi,Jin Ramen (Hot Taste),3,31,3.5
19,Nongshim,Shin Ramyun,3,31,4
20,Nongshim,Neoguri (Seafood'n'Spicy),3,31,3.5
21,Nongshim,Champong Oriental Noodles,3,31,4
22,Nongshim,Ansungtangmyun Noodle Soup,3,31,3.75
23,Nissin,Top Ramen Creamy Chicken,3,36,4.5
24,Nissin,Demae Ramen Spicy Seafood With Chili Pepper,3,19,2
25,Nissin,Demae Ramen Spicy Flavor,3,19,3
26,Nissin,Soba Noodles With Mayo Mustard Squirt,3,19,4
27,Nissin,Demae Ramen Curry Flavor,3,19,4
28,Nissin,Chikin Ramen,3,19,5
29,Mee Jang,Tom Yum Shrimp,1,34,3.5
30,Myojo,Special Duck,3,19,1
31,Myojo,Ippeichan Yakisoba,4,19,4
32,Koka,Mi Hai Cua Crab Flavor,3,30,3.5
33,Koka,Mi Hai Tom Prawn,3,30,3.75
34,Maruchan,Ramen Noodle Soup Shrimp,3,36,2
35,Mama,Chand Clear Soup,3,34,3
36,Lucky Me!,Itnok,3,27,3
37,Lucky Me!,Pancit Canton Hot Chili Flavor,3,27,3
38,Lucky Me!,Pancit Canton Citrus Flavor,3,27,3
39,Lucky Me!,Supreme Bulalo Flavor,1,27,3
40,Lucky Me!,Pancit Canton Chili Mansi,3,27,3
41,Little Cook,Pork Mustard Stem,1,34,0.5
42,Ve Wong,Kung-Fu Chicken Flavor,3,37,2.75
43,Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,1,33,0
44,Indomie,Special Chicken,3,18,4.25
45,Indomie,Mi Goreng Sate,3,18,5
46,Indomie,Mi Goreng Jumbo Meatball,3,18,3
47,Indomie,Mi Goreng Jumbo Barbecue Chicken,3,18,5
48,Indomie,Shrimp Flavor,3,18,3
49,Indomie,Mi Goreng Pedas Hot,3,18,4.5
50,Indomie,Mi Goreng,3,18,5
51,Indomie,Curly Noodles With Grilled Chicken,3,18,5
52,Indomie,Chicken Curry,3,18,4
53,Indomie,Chicken,2,18,2
54,Hua Feng Noodle Expert,Spicy Seafood Flavor,3,6,3
55,Hua Feng Noodle Expert,Favoury Pork Flavor,3,6,1
56,Doll,Instant Noodles With Sesame Oil & Soup Base,3,15,1
57,Doll,Instant Fried Noodles With Chili Sauce,4,15,3
58,Ve Wong,A-One Bun Tom Shrimp,3,33,3
59,Maggi,Chinese Noodles Lemon Chicken Flavor,3,17,3.5
60,Maggi,Vegetable Atta Noodles Masala,3,17,2
61,Maggi,2 Minute Noodles Curry,3,17,2.5
62,Maggi,Rice Noodle Mania Lemon Masala,3,17,1.5
63,Nissin,Souper Meal Chicken Flavor With Vegetable Medley,1,19,3
64,Sapporo Ichiban,Chicken Flavor,3,36,3.5
65,Nissin,Top Ramen Oriental,3,36,2.5
66,Maruchan,Ramen Noodle Soup Pork,3,36,4
67,Maruchan,Ramen Noodle Soup Lime Chili Shrimp,3,36,2
68,Wei Lih,Jah Jan Mien Instant Noodle With Fried Soybean Paste,3,33,4
69,Baijia,Spicy Fei- Chang Sweet Potato Noodle,3,6,1.75
70,Nissin,Demae Ramen XO Sauce Seafood,3,19,4
71,Nissin,Demae Ramen Satay,3,19,2.5
72,Nissin,Demae Ramen Tonkatsu Artificial Pork,3,19,3.5
73,Nissin,Demae Ramen Five Spices Artificial Beef,3,19,3.5
74,Nissin,Demae Ramen Shoyu,3,19,4
75,Indomie,Mi Goreng Rendang,3,18,4.5
76,Indomie,Meatball Flavor,3,18,2.5
77,Nissin,Demae Ramen Prawn,3,19,3.25
78,Nissin,Demae Ramen Seafood,3,19,2.5
79,Sapporo Ichiban,Kitsune Udon,3,19,3.25
80,Unif / Tung-I,Artificial Chicken,3,33,3.5
81,Unif / Tung-I,Artificial Spicy Beef,3,33,3.5
82,Nissin,Demae Ramen Miso,3,19,2.75
83,Nissin,Demae Ramen Spicy Flavor,3,19,2
84,Samyang,Kalgug-Su Assorted Clam,3,31,1.8
85,Nissin,Demae Ramen Sesame,3,19,3.75
86,Unif / Tung-I,Onion Flavor,3,33,3.65
87,Wai Wai,Tom Yum Shrimp Cream Soup,3,34,2.75
88,Paldo,31n Noodle Chicken,3,31,3.25
89,Unif,100 Artificial Stewed Pork Chop,3,33,3.2
90,Long Kow,Crystal Noodle Six Kinds Of Mushrooms,3,6,2.3
91,Binh Tay,Mi Chay Mushroom,3,37,2.75
92,Fashion Food,Tom Yum Seafood Creamy,1,34,2
93,Payless,Xtra Big Original Pancit Canton,3,27,4.5
94,Mama,Artificial Chicken,3,34,2.5
95,Wei Lih,Artificial Beef Flavor,3,33,1
96,Saigon Ve Wong,Kung Fu Artificial Pork Flavor,3,37,3.75
97,Saigon Ve Wong,Kung Fu Mi Tom Chua Sour Shrimp,3,37,2.5
98,Unif / Tung-I,Chah Chiang,3,33,2.5
99,Ve Wong,Kung Fu Artificial Onion,3,33,2.75
100,Unif / Tung-I,Artificial Chinese Beef,3,33,2.85
101,Ve Wong,Artificial Sesame Chicken,3,33,4.25
102,Indomie,Soto Mie,3,18,1.5
103,Ve Wong,Vegetarian Flavor,3,33,3
104,Maruchan,Ramen Noodle Soup Chicken,3,36,2
105,Indomie,Special Fried Curly Noodle,3,18,5
106,GreeNoodle,Tom Yum,3,34,0.5
107,Ottogi,Pow Crunch Teriyaki,3,31,1.1
108,Teriyaki Time,Ramen,1,36,2
109,Mama,Pad Thai,3,34,3.1
110,Lucky Me!,Artificial Chicken,3,27,1.5
111,Ottogi,Odongtongmyon Seafood Spicy,3,31,3.25
112,Ottogi,Jiajang Noodle,3,31,3.75
113,Nongshim,Hooroorook ,3,31,4
114,Samyang,Kimchi,3,31,2.9
115,Ottogi,Miso Ramyun,3,31,2.8
116,Mama,Nam Vang,3,34,3.6
117,Ottogi,Ramyonsari,3,31,4
118,Paldo,Bibim Men,3,31,3.75
119,Ve Wong,Artificial Pork & Chicken,3,33,3.4
120,Samyang,Beef,3,31,4
121,Ottogi,Bekse Curry,3,31,4
122,Doll,Shrimp Wonton,3,15,4
123,Wai Wai,Minced Pork Soeng Kreung,3,34,3.7
124,Nissin,Yakisoba With Mayonnaise/Mustard Packet,4,19,5
125,Shirakiku,19ese Style Tokusen Karami,3,19,3
126,Mama,Tom Yam Koong Rice Vermicelli,3,34,1.5
127,Vifon,Mi Chay Vegetarian,3,37,2.8
128,Mama,Artificial PA-LO Duck,3,34,0.1
129,Nongshim,Mupama Tang Myun,3,31,3.5
130,Sapporo Ichiban,Miso Soybean Paste,3,19,3.5
131,Unif,100 Artificial Shallot Chicken,3,33,3.25
132,Ve Wong,Artificial Peppered Beef,3,33,3.5
133,Baijia,Hot & Sour Rice Noodle,3,6,0
